日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2018-08-22,'000600,建投能源,5.39,5.43,5.34,5.37,5.4,-0.01,-0.1852,3662934
2018-08-21,'000600,建投能源,5.4,5.42,5.32,5.36,5.36,0.04,0.7463,3824599
2018-08-20,'000600,建投能源,5.36,5.38,5.26,5.32,5.3,0.06,1.1321,4485689
2018-08-17,'000600,建投能源,5.3,5.48,5.29,5.43,5.4,-0.1,-1.8519,4151290
2018-08-16,'000600,建投能源,5.4,5.48,5.36,5.44,5.48,-0.08,-1.4599,4673775
2018-08-15,'000600,建投能源,5.48,5.64,5.47,5.6,5.6,-0.12,-2.1429,4915510
2018-08-14,'000600,建投能源,5.6,5.67,5.55,5.65,5.64,-0.04,-0.7092,3363752
2018-08-13,'000600,建投能源,5.64,5.67,5.54,5.6,5.65,-0.01,-0.177,4613625
2018-08-10,'000600,建投能源,5.65,5.73,5.63,5.7,5.69,-0.04,-0.703,5613177
2018-08-09,'000600,建投能源,5.69,5.75,5.58,5.58,5.6,0.09,1.6071,6121336
2018-08-08,'000600,建投能源,5.6,5.72,5.59,5.65,5.69,-0.09,-1.5817,4729530
2018-08-07,'000600,建投能源,5.69,5.7,5.52,5.55,5.52,0.17,3.0797,5637361
2018-08-06,'000600,建投能源,5.52,5.66,5.48,5.6,5.63,-0.11,-1.9538,5374304
2018-08-03,'000600,建投能源,5.63,5.77,5.61,5.69,5.69,-0.06,-1.0545,5647578
2018-08-02,'000600,建投能源,5.69,5.75,5.55,5.71,5.71,-0.02,-0.3503,11017764
2018-08-01,'000600,建投能源,5.71,5.92,5.71,5.91,5.85,-0.14,-2.3932,7507038
2018-07-31,'000600,建投能源,5.85,6.03,5.8,5.9,5.93,-0.08,-1.3491,12331822
2018-07-30,'000600,建投能源,5.93,6.02,5.76,5.78,5.76,0.17,2.9514,15517603
2018-07-27,'000600,建投能源,5.76,5.92,5.75,5.86,5.87,-0.11,-1.8739,7485378
2018-07-26,'000600,建投能源,5.87,5.95,5.75,5.76,5.78,0.09,1.5571,16088352
2018-07-25,'000600,建投能源,5.78,5.89,5.76,5.83,5.83,-0.05,-0.8576,7524126
2018-07-24,'000600,建投能源,5.83,5.86,5.66,5.66,5.69,0.14,2.4605,12974770
2018-07-23,'000600,建投能源,5.69,5.74,5.53,5.54,5.58,0.11,1.9713,7553901
2018-07-20,'000600,建投能源,5.58,5.65,5.43,5.5,5.48,0.1,1.8248,8085765
2018-07-19,'000600,建投能源,5.48,5.64,5.46,5.6,5.64,-0.16,-2.8369,7152400
2018-07-18,'000600,建投能源,5.64,5.87,5.49,5.51,5.51,0.13,2.3593,15841370
2018-07-17,'000600,建投能源,5.51,5.52,5.4,5.48,5.47,0.04,0.7313,3725482
2018-07-16,'000600,建投能源,5.47,5.49,5.41,5.46,5.46,0.01,0.1832,3397200
2018-07-13,'000600,建投能源,5.46,5.48,5.42,5.45,5.45,0.01,0.1835,3787474
2018-07-12,'000600,建投能源,5.45,5.47,5.34,5.34,5.32,0.13,2.4436,5498043
2018-07-11,'000600,建投能源,5.32,5.43,5.26,5.42,5.48,-0.16,-2.9197,6133968
2018-07-10,'000600,建投能源,5.48,5.48,5.39,5.45,5.4,0.08,1.4815,5059737
2018-07-09,'000600,建投能源,5.4,5.41,5.31,5.31,5.28,0.12,2.2727,5052863
2018-07-06,'000600,建投能源,5.28,5.4,5.1,5.31,5.31,-0.03,-0.565,5942477
2018-07-05,'000600,建投能源,5.31,5.51,5.29,5.47,5.47,-0.16,-2.925,5001300
2018-07-04,'000600,建投能源,5.47,5.57,5.44,5.56,5.57,-0.1,-1.7953,5146972
