»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,≥…Ωª¡ø
2019-06-14,'300043,–«ª‘”È¿÷,4.42,4.58,4.41,4.55,4.58,-0.16,-3.4934,15785213
2019-06-13,'300043,–«ª‘”È¿÷,4.58,4.73,4.4,4.44,4.38,0.2,4.5662,31395891
2019-06-12,'300043,–«ª‘”È¿÷,4.38,4.45,4.35,4.43,4.45,-0.07,-1.573,18727355
2019-06-11,'300043,–«ª‘”È¿÷,4.45,4.57,4.14,4.2,4.2,0.25,5.9524,23932872
2019-06-10,'300043,–«ª‘”È¿÷,4.2,4.23,4.13,4.2,4.16,0.04,0.9615,9879450
2019-06-06,'300043,–«ª‘”È¿÷,4.16,4.32,4.12,4.26,4.28,-0.12,-2.8037,13755654
2019-06-05,'300043,–«ª‘”È¿÷,4.28,4.53,4.26,4.48,4.36,-0.08,-1.8349,17173792
2019-06-04,'300043,–«ª‘”È¿÷,4.36,4.41,4.29,4.34,4.34,0.02,0.4608,10998727
2019-06-03,'300043,–«ª‘”È¿÷,4.34,4.5,4.3,4.48,4.47,-0.13,-2.9083,13293636
2019-05-31,'300043,–«ª‘”È¿÷,4.47,4.62,4.45,4.58,4.54,-0.07,-1.5419,12966415
2019-05-30,'300043,–«ª‘”È¿÷,4.54,4.6,4.46,4.56,4.58,-0.04,-0.8734,12717133
2019-05-29,'300043,–«ª‘”È¿÷,4.58,4.66,4.55,4.59,4.62,-0.04,-0.8658,13032841
2019-05-28,'300043,–«ª‘”È¿÷,4.62,4.69,4.56,4.59,4.58,0.04,0.8734,19767940
2019-05-27,'300043,–«ª‘”È¿÷,4.58,4.61,4.38,4.46,4.42,0.16,3.6199,22197486
2019-05-24,'300043,–«ª‘”È¿÷,4.42,4.53,4.39,4.47,4.5,-0.08,-1.7778,16626118
