Date,Open,High,Low,Close,Volume,Adj Close
2017-04-18,12.42,12.44,12.18,12.19,15103100,12.19
2017-04-17,12.44,12.52,12.31,12.45,15078300,12.45
2017-04-14,12.52,12.55,12.35,12.51,17021200,12.51
2017-04-13,12.50,12.64,12.50,12.55,14185400,12.55
2017-04-12,12.55,12.72,12.51,12.59,29903200,12.59
2017-04-11,12.45,12.55,12.25,12.54,20939300,12.54
2017-04-10,12.55,12.63,12.41,12.45,18500700,12.45
2017-04-07,12.57,12.68,12.53,12.62,16722300,12.62
2017-04-06,12.58,12.72,12.55,12.58,19575500,12.58
2017-04-05,12.37,12.63,12.33,12.60,25528400,12.60
2017-04-04,12.35,12.35,12.35,12.35,000,12.35
2017-04-03,12.35,12.35,12.35,12.35,000,12.35
2017-03-31,12.49,12.54,12.26,12.35,26000200,12.35
2017-03-30,12.55,12.65,12.41,12.47,21751200,12.47
2017-03-29,12.66,12.74,12.53,12.55,18856800,12.55
2017-03-28,12.72,12.75,12.65,12.66,11974600,12.66
2017-03-27,12.81,12.95,12.71,12.73,24620300,12.73
2017-03-24,12.73,12.95,12.56,12.87,34803400,12.87
2017-03-23,12.70,12.84,12.53,12.73,18460700,12.73
2017-03-22,12.77,12.82,12.67,12.72,19173300,12.72
2017-03-21,12.92,12.94,12.79,12.83,18909300,12.83
2017-03-20,12.94,12.97,12.76,12.92,29502700,12.92
2017-03-17,13.26,13.29,12.95,12.98,36495300,12.98
2017-03-16,13.01,13.27,13.01,13.24,40840300,13.24
2017-03-15,12.93,13.02,12.91,12.98,11103600,12.98
2017-03-14,13.06,13.10,12.92,12.95,15686400,12.95
2017-03-13,12.91,13.05,12.83,13.05,16242700,13.05
2017-03-10,13.08,13.12,12.94,12.95,13131800,12.95
2017-03-09,13.15,13.15,13.01,13.10,19652800,13.10
2017-03-08,13.18,13.20,13.07,13.16,18940400,13.16
2017-03-07,13.21,13.22,13.12,13.19,16114000,13.19
2017-03-06,13.01,13.25,13.01,13.18,20514900,13.18
2017-03-03,13.02,13.08,12.94,13.03,20084500,13.03
2017-03-02,13.15,13.34,13.04,13.09,35874100,13.09
2017-03-01,13.10,13.20,13.04,13.10,21670400,13.10
2017-02-28,13.06,13.19,13.01,13.11,18785600,13.11
2017-02-27,13.22,13.23,13.01,13.05,21034500,13.05
2017-02-24,13.20,13.25,13.15,13.24,20245800,13.24
